word,count
JURY,859
STAN,849
SEXY,849
BLAH,845
CARS,838
PETE,832
WEAK,830
TREY,828
SLIP,826
ABBY,826
SEAN,817
DICK,816
RACE,810
LAKE,809
DENY,807
TEAR,803
EARS,803
TINY,797
DRAW,797
HARM,789
SNOW,786
DOGS,779
BASE,777
LIFT,776
WOKE,772
LISA,770
CAMP,770
WISE,765
DOLL,763
PAIR,759
EDGE,759
GUNS,755
BIKE,753
BONE,741
TERM,736
MEAL,735
BAIL,732
HUNG,730
DAWN,727
WASH,724
LETS,721
WHOM,720
TIED,713
DIES,710
RUDE,707
GREW,704
SOFT,702
CAST,699
FATE,698
PROM,695
EAST,695
UNIT,694
CREW,694
GUTS,690
SHOE,688
KANE,688
TALL,683
RUNS,681
JEEZ,681
SOUP,680
CHEF,676
TORY,673
ZACK,668
MALE,666
TOUR,664
PUTS,661
WHIP,660
HECK,660
LAID,659
BUST,658
PURE,656
NAIL,656
HILL,655
LANE,654
DIRT,654
BOND,654
JOBS,650
BARS,646
RATE,644
TRAP,643
EGGS,642
BAGS,639
GATE,638
CHAT,632
PINE,624
MATE,624
MATT,623
GLEN,622
MAID,621
BATH,621
PHIL,620
FLAT,612
PITY,611
FARM,605
HERS,604
ROLE,603
JANE,602
PINK,598
COMA,597
BULL,595
BELL,595
MIMI,592
FIRM,589
GANG,581
RISE,580
SKIP,578
HUNT,578
FAIL,578
WIDE,577
SODA,570
LOAD,567
FRED,565
SWIM,561
YELL,560
SALE,554
WOOD,548
ODDS,544
THIN,543
MALL,540
MILE,539
BART,533
MATH,532
CHIP,529
ZERO,528
NATE,528
WOLF,527
CURE,522
RARE,517
WORE,511
TAIL,510
SITE,510
HITS,510
SPIT,509
DUST,509
CARL,509
LAME,508
PATH,507
BOWL,506
WIRE,498
CAVE,497
BOOM,491
VICE,490
OPAL,489
DUCK,487
SPIN,484
TOOL,483
ROXY,483
WRAP,482
LOAN,481
BELT,473
LACK,470
BUCK,470
YARD,468
HEAL,466
BUZZ,464
SONS,462
ZACH,461
ZONE,451
JUNK,451
OWNS,448
HOST,446
FUND,444
BARN,444
DOUG,443
VEGA,442
GREG,433
TORN,432
GOLF,432
NIKI,431
EMMA,428
DECK,428
EASE,427
WAVE,422
THEE,422
LAWS,421
ASKS,421
OOPS,420
GOAL,419
MASS,418
GINA,417
WING,416
SNAP,414
PACE,414
SINK,411
GAIN,410
DUKE,408
TEND,406
TONE,402
NINA,402
BANG,402
PISS,400
TOSS,399
GEEZ,398
BURY,396
HMMM,394
FITS,392
SLUT,390
FLEW,390
DREW,389
CRIS,389
AMEN,389
VOWS,388
DARN,388
CLAY,388
USES,387
INCH,385
FLAG,385
DEBT,385
SAND,384
PAPA,380
TANK,379
BEEF,379
WINS,378
SALT,377
WIPE,373
NEAT,373
LIMO,373
ANTI,373
HINT,369
SOAP,366
FLIP,365
JEAN,362
ROPE,361
BARB,361
OUCH,359
WHEW,358
OOOH,358
SHHH,357
EDEN,356
THOU,354
RACH,354
OHHH,354
BUGS,354
TALE,350
HART,346
TWIN,345
BERG,345
TUNE,344
MASK,344
KIRK,343
GARY,342
PUNK,340
KNEE,335
CAGE,335
TOES,334
POUR,334
EXIT,333
CATS,333
PIPE,330
DATA,330
CHOP,330
TINA,329
SCAM,328
RATS,328
PILL,327
LEAN,327
PAYS,325
SHED,324
MENU,324
DIET,324
CORN,324
GREY,323
DIME,323
PILE,321
TOYS,319
POEM,319
EXAM,318
JOEL,316
DISH,316
IRON,314
DANA,314
TENT,313
NOON,313
DIAL,312
ACTS,312
WARD,311
TAXI,310
SETS,310
JEFF,310
GRAY,310
SEEK,304
ITEM,303
GEAR,303
FANS,302
TONS,301
AIDS,299
NOAH,298
GRIP,298
BUMP,298
FEDS,297
EARN,296
ROOT,294
GODS,294
LEAK,293
FOND,293
JUNE,292
ROME,291
TIPS,290
MACY,290
SLAP,289
PLUG,289
OATH,289
HORN,288
BAIT,288
PLOT,287
DIVE,286
SORE,283
GLOW,282
DORM,281
BEND,281
AHHH,280
EATS,279
CHIN,279
SEAL,278
RAGE,278
SACK,275
EARL,275
BENT,275
FUEL,274
FOUL,273
DULL,273
AGES,273
DEAF,272
JULY,271
CUTS,271
TORE,267
POPS,267
FLOW,266
RAPE,265
CORE,265
ANNE,264
RICO,263
FORT,263
COKE,263
LOFT,262
JAVA,261
LAWN,260
ANYA,258
ALLY,258
HOOD,257
BARE,257
LEAP,256
GOWN,255
PONY,253
LAMP,253
TECH,252
OWES,252
CAFE,251
STAB,250
SCUM,250
LOOP,250
WORN,249
PLEA,249
FROG,248
BRAT,248
COZY,247
TIRE,246
SARA,246
OVEN,246
MILL,246
NEST,245
GENE,245
BALD,244
SCAR,243
POLE,243
SITS,240
PIGS,240
